ActivityDate,ActivityName,ElapsedTime,MovingTime,Distance,MaxSpeed,ElevationGain,Class
"Feb 22, 2016, 2:48:17 PM",Morning Run,3763,3614,14587.40039,6,186.5269928,0
"Feb 20, 2016, 3:08:09 PM",Morning Run,4522,4436,17830.80078,5.199999809,139.1600037,1
"Feb 23, 2016, 3:19:50 PM",Warm up,794,794,3055,5.800000191,0,0
"Feb 23, 2016, 4:00:41 PM",5x1k,1572,925,5454.5,6.900000095,0,2
"Feb 23, 2016, 4:33:47 PM",Cooldown ,1047,1009,3309.699951,4.199999809,0,0
"Feb 25, 2016, 1:08:52 AM",Afternoon Run,3187,3163,12906.09961,5.199999809,29.34000015,0
"Feb 25, 2016, 3:27:01 PM",I got hurt ,3876,3577,14684.7002,5.099999905,66.08000183,0
"Mar 7, 2016, 2:50:59 PM",Back at it again ,2250,2135,8077.899902,4.800000191,38.38000107,0
"Mar 8, 2016, 3:27:11 PM",All grass for healthy shins ,2037,2037,8082.200195,5.099999905,0,0
"Mar 10, 2016, 12:59:56 AM",Afternoon Run,1924,1890,7270.299805,4.800000191,24.28000069,0
"Mar 10, 2016, 3:23:03 PM",Maybe I'll redshirt ,1960,1960,7262.100098,4.800000191,0,0
"Mar 11, 2016, 9:03:07 PM","The faster I run, the less pain I feel",1981,1854,7252.299805,5.300000191,31.63999939,0
"Mar 28, 2016, 2:38:15 PM",Morning Run,1917,1338,4798,4.699999809,66.18000031,0
"Mar 29, 2016, 2:34:06 PM",Morning Run,1243,1243,4839.200195,4.5,0,0
"Mar 25, 2016, 3:31:43 PM",Morning Run,628,613,2238.800049,4.099999905,0,0
"Mar 26, 2016, 5:01:46 AM",Night Run,604,604,2286.399902,4.400000095,0,0
"Mar 27, 2016, 3:14:44 PM",Morning Run,1202,1202,4395.200195,4.5,0,0
"Mar 31, 2016, 2:46:22 PM",Morning Run,1801,1726,6463.700195,4.800000191,13.18000031,0
"Apr 2, 2016, 4:19:33 AM",Proper warm up made my run 1000x better,1494,1494,6475.5,6,0,0
"Apr 18, 2016, 1:51:26 PM",#R2H starts here,1309,1235,4840.700195,4.599999905,33.74000168,0
"Apr 20, 2016, 1:34:44 PM",Morning Run,1286,1286,4849.399902,5.699999809,0,0
"Apr 21, 2016, 6:50:58 PM",Lunch Run,1285,1280,4856.799805,4.5,14.93999958,0
"Apr 22, 2016, 2:37:12 PM",Morning Run,1292,1278,4946.100098,5,0,0
"Apr 25, 2016, 1:49:58 PM",Morning Run,1373,1278,4842.100098,5,30.81999969,0
"Apr 26, 2016, 2:19:45 PM",Morning Run,1773,1497,5789.899902,4.900000095,11.30000019,0
"Apr 28, 2016, 2:13:22 PM",Feeling great ,1923,1588,5714,5.5,0,0
"Apr 29, 2016, 2:36:34 PM",Morning Run,1650,1527,5653.100098,4.199999809,13.03999996,0
"May 2, 2016, 1:54:03 PM",Morning Run,1725,1581,6463.700195,5,18.65999985,0
"May 3, 2016, 2:27:34 PM",EZ runz ,1805,1805,6460.200195,4.300000191,0,0
"May 5, 2016, 2:20:21 PM",Morning Run,1678,1678,6459.5,5.099999905,0,0
"May 6, 2016, 2:37:57 PM",Pre meet.... Jk,1712,1690,6601.200195,6.300000191,14.80819988,0
"May 9, 2016, 2:20:45 PM",Morning Run,1914,1754,7257.399902,4.800000191,17.84000015,0
"May 12, 2016, 3:22:32 AM",E to the Z,2076,2076,7281.799805,5.900000095,0,0
"May 12, 2016, 2:40:02 PM",Morning Run,1829,1668,6806.399902,4.800000191,13.52670002,0
"May 15, 2016, 2:33:01 AM",EZ + strides this time ,1934,1912,7269.5,4.800000191,30.21999931,0
"May 17, 2016, 12:32:36 AM",Afternoon Run,2002,1828,7256,6,79.59999847,0
"May 17, 2016, 11:13:32 PM",Afternoon Run,2174,1911,7249.799805,4.300000191,36.56000137,0
"May 18, 2016, 6:34:04 PM",Visiting the old trail,1875,1875,7264.299805,5,30.62000084,0
"May 19, 2016, 9:20:52 PM",Afternoon Run,1816,1737,6454.299805,5.199999809,21.63999939,0
"May 23, 2016, 8:26:39 PM",First run in these babies ,2069,1926,7308.100098,5,29.68460083,0
"May 24, 2016, 7:17:19 PM",More hills than usual ,1943,1865,7261.899902,5.099999905,68.40000153,0
"May 25, 2016, 2:44:14 PM",Eating up hills,1903,1858,7255.200195,5.599999905,128.7599945,0
"May 27, 2016, 6:14:39 PM",Easy day,1982,1942,7274.899902,4.599999905,27.97999954,0
"May 28, 2016, 3:29:48 PM",Morning Run,1827,1776,7276.200195,5.199999809,68.46330261,0
"May 30, 2016, 6:22:51 PM",Yoga after runs >>,2006,1971,8069.799805,5,69.40000153,0
"May 31, 2016, 8:30:18 PM",Easy day,2238,2161,8075.200195,4.599999905,27.70000076,0
"Jun 2, 2016, 2:51:37 AM",Felt good ,2187,2182,8069.799805,4.699999809,130.1600037,0
"Jun 2, 2016, 6:44:13 PM",90 degrees outside ,1753,1633,6444.600098,4.900000095,17.29999924,0
"Jun 3, 2016, 4:02:17 PM",Morning Run,1928,1928,8052.100098,6.300000191,33.40000153,0
"Jun 4, 2016, 5:31:36 PM",Morning Run,1856,1774,6457,4.199999809,18.44000053,0
"Jun 6, 2016, 5:21:58 PM",The blister on my foot hates me ,2288,2282,8864.599609,4.800000191,71.83999634,0
"Jun 7, 2016, 7:40:45 PM",Lunch Run,2319,2319,8879.799805,5.199999809,96.30000305,0
"Jun 8, 2016, 8:43:05 PM","Yup, not running in Nikes again ",1795,1709,6447.600098,4.900000095,17.73999977,0
"Jun 9, 2016, 10:43:46 PM",Blister still there ,2833,2801,11287,6,55.86000061,0
"Jun 10, 2016, 4:08:48 PM",Morning Run,2509,2469,9672,6,70.05999756,0
"Jun 11, 2016, 7:01:04 PM",Lunch Run,2225,2218,8057,4.599999905,17.28000069,0
"Jun 14, 2016, 2:09:17 AM",Evening Run,2537,2462,9664.799805,4.800000191,63.88999939,0
"Jun 14, 2016, 7:27:13 PM",Lunch Run,2641,2530,9670.200195,4.800000191,66.95999908,0
"Jun 15, 2016, 7:01:34 PM",First run with Shelby ,3323,3287,12993.40039,4.599999905,117.8199997,0
"Jun 17, 2016, 10:19:01 AM",4am easy run,2785,2785,9841.299805,5,65.38189697,0
"Jun 19, 2016, 3:16:38 AM",Evening Run,2920,2920,10474.2002,4.400000095,52.29999924,0
"Jun 20, 2016, 2:56:20 AM",Evening Run,2810,2797,10160.2998,4.5,48.69329834,0
"Jun 20, 2016, 3:27:04 PM",I feel like poop,2929,2901,9674.599609,3.900000095,68.22000122,0
"Jun 22, 2016, 1:45:28 AM",Karbon Kanyon after work ,3903,3737,14541.40039,5,131.595993,0
"Jun 26, 2016, 1:45:25 AM",Super excited for season ,4985,4936,19332.80078,4.800000191,89,1
"Jun 24, 2016, 1:33:12 AM",Evening Run,3226,3091,11385.90039,5.5,86.81999969,0
"Jun 26, 2016, 11:37:47 PM",Jogging around Carbon Canyon,3276,3226,11270.59961,5.199999809,80.27330017,0
"Jun 27, 2016, 9:05:47 PM",Never running again when it's 100 degrees & there's 15mph wind ,4543,4408,16101.40039,4.599999905,114.1399994,0
"Jun 29, 2016, 1:08:12 AM","Yup, Brush Canyon still rocky af",3362,3149,11284.5,4.300000191,77.73139954,0
"Jul 2, 2016, 2:30:20 AM",Cross training + day off = fresh legs,3417,3294,12886.40039,5.099999905,91.18859863,0
"Jul 5, 2016, 1:31:30 AM",Evening Run,3075,3014,11279.7998,4.699999809,103.5370026,0
"Jul 5, 2016, 3:27:49 PM",It's a beautiful day ,2587,2537,9664,5,27.86000061,0
"Jul 6, 2016, 6:06:08 PM",Lunch Run,2579,2566,9668.099609,4.5,12.26000023,0
"Jul 8, 2016, 3:35:21 PM",Negative splits for days ,2656,2529,9672.700195,5,39,0
"Jul 9, 2016, 3:48:07 PM",Morning Run,2011,1943,6451.799805,4.5,61.78329849,0
"Jul 12, 2016, 5:07:00 PM",Morning Run,2624,2544,9665,4.599999905,27.72999954,0
"Jul 13, 2016, 8:49:20 PM",Afternoon Run,2588,2168,8059.100098,4.800000191,52.90000153,0
"Jul 18, 2016, 3:43:54 PM",Morning Run,2466,2453,9664,4.900000095,27.87999916,0
"Jul 27, 2016, 2:25:55 AM",Finally uploading again,3431,3410,12885.90039,4.599999905,74.98329926,0
"Jul 21, 2016, 12:36:03 AM",Afternoon Run,2539,2521,9664.700195,4.5,39.40000153,0
"Jul 22, 2016, 4:11:22 PM",Morning Run,1811,1764,6444,4.400000095,17.26000023,0
"Jul 23, 2016, 3:45:37 PM",Morning Run,3024,2982,11274.7998,4.699999809,83.80000305,0
"Jul 24, 2016, 4:04:02 PM",Morning Run,3055,3055,11277.7002,4.599999905,80.98000336,0
"Jul 27, 2016, 3:02:36 PM",Morning Run,3397,3371,12887.7998,4.599999905,79.81999969,0
"Jul 28, 2016, 2:13:58 PM",Morning Run,4128,4031,16097.5,4.699999809,155.5769958,0
"Jul 30, 2016, 1:25:23 AM",Evening Run,2695,2600,9667.299805,4.400000095,28.18000031,0
"Jul 30, 2016, 3:38:07 PM",Morning Run,3484,3458,12889,4.900000095,85.05999756,0
"Jul 31, 2016, 3:15:49 PM",Morning Run,3525,3504,12881.09961,4.400000095,86.84860229,0
"Aug 1, 2016, 4:47:10 PM",Great way to start the week,3777,3757,14521.59961,5,119.4599991,0
"Aug 2, 2016, 3:54:15 PM",Morning Run,3862,3846,14495.2002,5.199999809,86.09999847,0
"Aug 4, 2016, 3:10:30 PM",Easy run,3130,3115,11274.40039,4.300000191,75.58000183,0
"Aug 5, 2016, 3:03:17 PM",Morning Run,3425,3412,12881.09961,4.400000095,84.09999847,0
"Aug 6, 2016, 2:11:03 PM",You did a D run -TJ,4938,4900,19318.69922,4.900000095,231.5800018,1
"Aug 8, 2016, 3:18:23 PM",Morning Run,3732,3710,14491.90039,5.099999905,87.24330139,0
"Aug 9, 2016, 4:13:24 PM",Morning Run,3715,3690,14500.2998,5.199999809,102.1200027,0
"Aug 10, 2016, 5:45:09 PM",Morning Run,3519,3519,12882.7002,4.199999809,61.72000122,0
"Aug 13, 2016, 1:52:25 AM",Evening Run,5400,5350,20945.5,5,247.2966614,1
"Aug 14, 2016, 3:29:43 PM",Morning Run,3842,3713,14489.7002,4.900000095,178.677002,0
